Origin,Destination,MedianTimeSeconds,Frequency
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),AKOM akutteam 4,867.0,251
Röntgen Norr rum S12,AKOM akutteam 4,434.0,248
Avd 12 Thoraxkirurgi,Röntgen Norr rum S12,634.0,248
KFU Klinisk Fysiologi Ultraljud,AKOM team 3 OBS:en,1031.5,244
Röntgen Norr rum S15,Avd 135 Stroke,787.0,242
Röntgen Norr rum S16,Avd 32 Specialistmedicin,777.0,241
Röntgen Norr rum S16,Avd 91 MAVA,656.0,240
Röntgen Norr rum S16,Avd 136 Kirurgi,870.0,239
Röntgen Norr rum S16,Avd 31 Plastik dagvård,785.0,235
PIVA avd 22,Avd 67 Gynekologi,974.0,235
Postop 4,Avd 30 Urologi,1488.0,235
Avd 135 Stroke,Röntgen Plan 01 rum s18,699.5,234
Avd 32 Specialistmedicin,Röntgen Norr rum S12,609.0,230
AKOM akutteam 1,Avd 16/29 medicin,1105.0,230
Röntgen Norr rum S16,Avd 16/29 medicin,776.0,229
Avd 26 Hjärtdagsjukvård,Intervention 2,380.5,228
AKOM akutteam 4,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),734.0,225
AKOM team 3 OBS:en,Avd 19 specialist,1561.0,225
Avd 32 Specialistmedicin,Röntgen Norr rum S16,786.0,225
GEA Gastroenterologisk Endoskopi,Avd 132 Kirurgi,1115.0,225
Strålbehandling Rum 10,Avd 54 Onkologi,1093.0,223
PIVA avd 22,Avd 18 Öron Näsa Hals,886.0,222
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),AKOM akutteam 1,817.0,221
Avd 132 Kirurgi,Röntgen Norr rum S16,866.0,217
Avd 54 Onkologi,Strålbehandling Rum 9,487.0,217
UVA avdelning 95A,Avd 137 Kirurgi,1060.0,217
Avd 137 Kirurgi,Operation 8,702.0,215
AKOM akutteam 1,Röntgen Norr rum S11,696.5,214
Strålbehandling Rum 9,Avd 54 Onkologi,1034.5,212
Röntgen Norr rum S12,Avd 32 Specialistmedicin,723.0,211
Avd 90 MAVA,KFU Klinisk Fysiologi Ultraljud,826.0,210
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 139 Transplantation,1019.5,208
Avd 132 Kirurgi,Operation 8,632.5,202
AKOM akutteam 1,Avd 133 Neurologi,1276.0,201
Avd 31 Plastik dagvård,Röntgen Norr rum S15,471.0,200
Avd 54 Onkologi,Strålbehandling Rum 10,501.0,198
KFU Klinisk Fysiologi Ultraljud,Avd 90 MAVA,904.5,198
AKOM akutteam 1,Röntgen Norr rum S12,675.0,195
UVA avdelning 95A,Avd 139 Transplantation,1148.0,193
PIVA avd 22,Avd 135 Stroke,954.0,192
Röntgen Norr rum S16,Avd 139 Transplantation,765.0,190
Avd 136 Kirurgi,Röntgen Norr rum S16,781.0,187
GEA Gastroenterologisk Endoskopi,Avd 137 Kirurgi,1000.5,184
Röntgen Söder rum S4,Avd 32 Specialistmedicin,988.5,184
Avd 132 Kirurgi,Operation 1,450.0,183
Avd 139 Transplantation,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),519.0,181
Avd 16/29 medicin,Röntgen Norr rum S16,921.0,179
Röntgen Norr rum S16,Avd 141 Hematologi,1050.0,177
Dag-UVA avdelning 95B,Avd 31 Plastik dagvård,879.0,173
AKOM akutteam 1,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),781.0,173
AKOM akutteam 1,Avd 18 Öron Näsa Hals,949.5,172
Avd 132 Kirurgi,GEA Gastroenterologisk Endoskopi,612.0,172
GEA Gastroenterologisk Endoskopi,Avd 16/29 medicin,950.0,171
Lungdiagnostisk Mott.,Avd 32 Specialistmedicin,1326.0,167
Avd 132 Kirurgi,Röntgen Norr rum S12,505.0,166
Röntgen Norr rum S16,Avd 30 Urologi,808.0,165
Röntgen Norr rum S15,AKOM team 3 OBS:en,566.0,165
PIVA avd 22,Avd 30 Urologi,804.0,164
Avd 15/28 Ortopedi,Operation 1,324.0,163
Röntgen Söder rum S6,Avd 12 Thoraxkirurgi,981.0,161
Avd 91 MAVA,Röntgen Norr rum S16,714.0,159
Röntgen Norr rum S12,Avd 132 Kirurgi,791.5,158
Röntgen Norr rum S16,Avd 34 Geriatrik,874.0,158
AKOM akutteam 1,Avd 34 Geriatrik,1230.0,158
AKOM akutteam 4,Avd 136 Kirurgi,953.5,158
Avd 137 Kirurgi,Röntgen Norr rum S16,843.0,157
Avd 67 Gynekologi,Operation 1,673.0,157
Röntgen Plan 01 rum s18,Avd 133 Neurologi,1164.0,153
Avd 136 Kirurgi,Operation 1,354.0,153
Röntgen Norr rum S12,Avd 137 Kirurgi,754.5,152
Avd 135 Stroke,Röntgen Norr rum S11,608.0,151
PIVA avd 22,Avd 31 Plastik dagvård,925.0,150
Avd 131 Njurmedicin,Intervention 1,689.0,149
Intervention 1,Avd 131 Njurmedicin,1330.0,149
Kirurgmottagningen Dagvård,GEA Gastroenterologisk Endoskopi,431.0,147
GEA Gastroenterologisk Endoskopi,Kirurgmottagningen Dagvård,1010.5,146
Avd 67 Gynekologi,Operation 8,738.0,146
Avd 138 Kärlkirurgi,Operation 8,290.0,146
Avd 30 Urologi,Röntgen Norr rum S16,700.0,145
Avd 31 Plastik dagvård,Röntgen Söder rum S4,483.0,144
Röntgen Norr rum S16,Avd 54 Onkologi,948.0,143
Strålbehandling Rum 8,Avd 54 Onkologi,1117.0,143
Röntgen Norr rum S16,Avd 115 Reumatologi,1178.5,142
Avd 139 Transplantation,Röntgen Söder rum S4,795.0,141
UVA avdelning 95A,Avd 30 Urologi,955.0,141
KFU Klinisk Fysiologi Ultraljud,Avd 138 Kärlkirurgi,1244.0,140
Röntgen Norr rum S16,Avd 52 Onkologi,894.0,140
Röntgen Norr rum S11,Avd 135 Stroke,995.0,139
Avd 16/29 medicin,GEA Gastroenterologisk Endoskopi,428.0,139
Avd 137 Kirurgi,GEA Gastroenterologisk Endoskopi,653.5,138
Avd 137 Kirurgi,Röntgen Norr rum S12,584.0,137
Avd 139 Transplantation,Röntgen Norr rum S12,553.0,137
KFU Klinisk Fysiologi Ultraljud,Avd 16/29 medicin,1018.0,137
Röntgen Norr rum S16,Avd 131 Njurmedicin,878.0,137
Avd 137 Kirurgi,Operation 1,427.0,137
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 143 Transplantationsmottagning,1073.0,136
KFU Klinisk Fysiologi Ultraljud,Avd 115 Reumatologi,1412.5,136
Avd 30 Urologi,Operation 4,743.5,136
Avd 14 Plastik,Operation 6 Plastikkirurgi,276.0,136
Avd 16/29 medicin,KFU Klinisk Fysiologi Ultraljud,893.0,135
Avd 54 Onkologi,Strålbehandling Rum 8,503.0,134
Avd 133 Neurologi,Röntgen Plan 01 rum s18,695.5,134
GEA Gastroenterologisk Endoskopi,Avd 136 Kirurgi,1123.0,133
Avd 141 Hematologi,Röntgen Norr rum S16,930.0,132
Röntgen Norr rum S15,Avd 132 Kirurgi,852.0,131
Röntgen Norr rum S12,Avd 139 Transplantation,752.0,131
Avd 136 Kirurgi,Operation 8,465.0,131
Kirurgmottagningen Dagvård,Operation 6 Plastikkirurgi,379.0,131
Avd 34 Geriatrik,Röntgen Norr rum S16,724.0,129
PIVA avd 22,Kirurgmottagningen Dagvård,953.5,126
Röntgen Söder rum S4,Avd 31 Plastik dagvård,988.0,126
KFU Klinisk Fysiologi Ultraljud,Avd 131 Njurmedicin,1314.5,124
Röntgen Norr rum S16,Avd 69 Onkologi,1035.5,124
Röntgen Norr rum S12,Avd 91 MAVA,593.5,124
Intervention 1,Avd 30 Urologi,883.0,122
Röntgen Plan 01 rum s18 (MR),Avd 135 Stroke,929.5,122
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 131 Njurmedicin,1370.0,121
Avd 115 Reumatologi,KFU Klinisk Fysiologi Ultraljud,1057.0,121
Avd 52 Onkologi,Röntgen Norr rum S16,803.0,121
Urologmottagningen,Intervention 1,648.0,119
Avd 69 Onkologi,Röntgen Norr rum S16,911.0,119
Röntgen Norr rum S16,Avd 67 Gynekologi,967.0,119
Avd 91 MAVA,Röntgen Söder rum S4,847.5,118
Avd 54 Onkologi,Röntgen Norr rum S16,829.0,117
Röntgen Söder rum S4,Avd 141 Hematologi,1437.0,117
Operation 4 Postop,Urologmottagningen,1408.5,116
AKOM triage,Röntgen Norr rum S16,550.5,116
Röntgen Norr rum S12,Avd 16/29 medicin,730.0,115
Avd 30 Urologi,Intervention 1,726.0,115
Röntgen Söder rum S4,Avd 15/28 Ortopedi,1025.0,115
Avd 16/29 medicin,Röntgen Norr rum S12,737.0,113
Operation 4 (på OP1 under sommaren),Avd 67 Gynekologi,1224.0,112
Avd 13 Kardiologi,Intervention 3,373.5,112
Röntgen Plan 01 rum s18,Avd 15/28 Ortopedi,857.0,112
Röntgen Norr rum S11,AKOM team 3 OBS:en,595.5,112
AKOM akutteam 4,Röntgen Norr rum S12,599.0,111
Röntgen Norr rum S16,Avd 15/28 Ortopedi,794.0,110
Andningsfysiologi Klin fys mottagning 3,Avd 115 Reumatologi,1616.5,110
Avd 139 Transplantation,Röntgen Norr rum S16,666.0,109
Röntgen Norr rum S16,TVE Traumavårdsenhet,805.0,108
Röntgen Norr rum S15,Avd 137 Kirurgi,806.5,108
Avd 91 MAVA,Röntgen Norr rum S12,597.0,108
Avd 131 Njurmedicin,KFU Klinisk Fysiologi Ultraljud,1108.5,108
Iohexol njurfunktion Klin Fys (crom),Avd 67 Gynekologi,1315.0,107
Avd 138 Kärlkirurgi,KFU Klinisk Fysiologi Ultraljud,629.5,106
Avd 131 Njurmedicin,Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),332.5,106
AKOM team 3 OBS:en,Avd 135 Stroke,1906.0,105
Röntgen Söder rum S4,Avd 139 Transplantation,1146.0,105
Röntgen Norr rum S15,Avd 91 MAVA,571.5,104
Avd 67 Gynekologi,Röntgen Norr rum S16,984.0,104
Avd 131 Njurmedicin,Röntgen Norr rum S16,890.0,103
Röntgen Söder rum S6,Avd 137 Kirurgi,1095.0,102
Avd 13 Kardiologi,Intervention 2,383.5,102
UVA avdelning 95A,Avd 138 Kärlkirurgi,1207.0,102
KK-akuten Gynekologisk Akutmottagning,AKOM triage,1163.0,102
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 132 Kirurgi,1116.0,100
Avd 115 Reumatologi,Andningsfysiologi Klin fys mottagning 3,563.5,100
UVA avdelning 95A,Avd 27 Plastik,990.5,100
Röntgen Norr rum S15,Avd 16/29 medicin,801.0,99
Avd 143 Transplantationsmottagning,Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),369.0,99
Röntgen Norr rum S16,Avd 138 Kärlkirurgi,888.0,99
Avd 32 Specialistmedicin,KFU Klinisk Fysiologi Ultraljud,695.0,97
Urologmottagningen,Operation 4,951.0,97
Röntgen Norr rum S15,Avd 32 Specialistmedicin,808.5,96
Röntgen Norr rum S15,Avd 136 Kirurgi,935.0,96
AKOM triage,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),867.0,96
Avd 136 Kirurgi,GEA Gastroenterologisk Endoskopi,517.0,95
Avd 32 Specialistmedicin,Lungdiagnostisk Mott.,665.0,95
AKOM akutteam 4,KK-akuten Gynekologisk Akutmottagning,903.5,94
AKOM akutteam 1,KFU Klinisk Fysiologi Ultraljud,932.5,94
Röntgen Norr rum S16,Avd 12 Thoraxkirurgi,729.5,94
Avd 139 Transplantation,Operation 8,248.5,94
Avd 18 Öron Näsa Hals,Röntgen Norr rum S16,681.0,94
Dialysmottagning (avd 130),Avd 115 Reumatologi,1111.5,94
Röntgen Norr rum S16,AKOM team 2 medicin,551.0,93
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 16/29 medicin,940.0,93
Röntgen Söder rum S6,Avd 25 Thoraxkirurgi,1010.0,93
Röntgen Norr rum S16,Avd 133 Neurologi,912.0,93
Röntgen Söder rum S6,Avd 91 MAVA,916.0,91
Röntgen Norr rum S11,Avd 32 Specialistmedicin,854.0,91
Röntgen Söder rum S5,Avd 15/28 Ortopedi,1017.0,91
Avd 16/29 medicin,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),614.0,91
Röntgen Norr rum S11,Avd 16/29 medicin,930.0,90
AKOM team 3 OBS:en,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),978.0,89
Avd 15/28 Ortopedi,Röntgen Plan 01 rum s18,622.0,89
Röntgen Plan 01 rum s18,Avd 10 Neurokirurgi,918.0,89
KFU Klinisk Fysiologi Ultraljud,Avd 34 Geriatrik,1017.0,89
Röntgen Norr rum S11,Avd 137 Kirurgi,866.0,89
PIVA avd 22,Avd 10 Neurokirurgi,775.5,88
AKOM team 3 OBS:en,Röntgen Norr rum S11,720.5,88
Avd 30 Urologi,Operation 8,509.5,88
Strålbehandling Rum 10,Avd 69 Onkologi,1350.0,87
Avd 67 Gynekologi,Iohexol njurfunktion Klin Fys (crom),536.0,86
AKOM team 3 OBS:en,Röntgen Söder rum S4,840.0,86
TVE Traumavårdsenhet,Röntgen Norr rum S16,766.0,86
Röntgen Söder rum S4,Avd 91 MAVA,768.5,86
AKOM akutteam 1,Avd 132 Kirurgi,1007.5,86
Röntgen Söder rum S6,Avd 32 Specialistmedicin,1060.0,86
Avd 132 Kirurgi,Röntgen Söder rum S5,701.0,86
AKOM team 2 medicin,Röntgen Norr rum S16,726.0,85
Kirurgmottagningen Dagvård,Operation 8,347.5,84
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Urologmottagningen,1076.5,84
Intervention 1,Avd 16/29 medicin,1190.5,84
PIVA avd 22,TVE Traumavårdsenhet,827.0,84
Avd 135 Stroke,Röntgen Plan 01 rum s18 (MR),701.0,83
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 131 Njurmedicin,1164.0,83
UVA avdelning 95A,Avd 135 Stroke,1150.0,83
Strålbehandling Rum 12,Avd 54 Onkologi,1131.0,83
Avd 34 Geriatrik,KFU Klinisk Fysiologi Ultraljud,774.0,83
KFU Klinisk Fysiologi Ultraljud,Avd 19 specialist,1047.0,82
AKOM akutteam 1,Röntgen Söder rum S4,776.0,81
Avd 16/29 medicin,Röntgen Norr rum S11,711.0,81
Röntgen Norr rum S15,Avd 69 Onkologi,1069.0,81
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 137 Kirurgi,1023.5,80
Avd 132 Kirurgi,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),687.0,80
Avd 137 Kirurgi,Röntgen Söder rum S5,879.0,80
Avd 91 MAVA,Avd 16/29 medicin,2058.0,80
Avd 137 Kirurgi,Intervention 1,932.0,80
Röntgen Norr rum S15,Avd 34 Geriatrik,832.0,79
Röntgen Norr rum S12,Avd 136 Kirurgi,764.0,79
Avd 115 Reumatologi,Röntgen Norr rum S16,967.0,79
Intervention 1,Dagvård Urologmottagningen,1337.0,78
AKOM akutteam 1,Avd 137 Kirurgi,1104.5,78
Kirurgmottagningen Dagvård,Avd 136 Kirurgi,1318.0,77
Röntgen Norr rum S16,Avd 18 Öron Näsa Hals,791.0,77
Avd 138 Kärlkirurgi,Röntgen Norr rum S16,683.5,76
Röntgen Norr rum S16,Avd 19 specialist,817.5,76
Urologmottagningen,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),533.5,76
Avd 115 Reumatologi,Röntgen Norr rum S11,779.5,76
AKOM team 3 OBS:en,Röntgen Norr rum S15,842.5,76
Avd 136 Kirurgi,Röntgen Norr rum S12,462.5,76
Avd 16/29 medicin,Röntgen Söder rum S4,741.0,75
Postop 4,Urologmottagningen,1578.0,75
Röntgen Söder rum S4,Avd 69 Onkologi,1276.0,75
Röntgen Norr rum S16,Avd 10 Neurokirurgi,716.0,75
Avd 115 Reumatologi,Dialysmottagning (avd 130),472.5,74
Röntgen Norr rum S16,Avd 25 Thoraxkirurgi,676.0,74
Operation 4 Preop,Röntgen Söder rum S4,1519.5,74
Dag-UVA avdelning 95B,Avd 27 Plastik,876.0,73
Avd 30 Urologi,Operation 1,416.0,73
Avd 139 Transplantation,Operation 1,299.5,72
PIVA avd 22,Avd 18 Öron Näsa Hals (på 27 under sommaren),808.5,72
Avd 34 Geriatrik,Röntgen Norr rum S12,674.0,71
Röntgen Norr rum S12,Avd 141 Hematologi,944.0,71
Intervention 1,Urologmottagningen,1182.0,71
Röntgen Norr rum S11,Avd 31 Plastik dagvård,730.0,71
Avd 132 Kirurgi,Röntgen Norr rum S15,955.0,71
Röntgen Norr rum S16,Avd 21 Geriatrik,819.0,70
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Kirurgmottagningen Dagvård,937.5,70
AKOM akutteam 4,Avd 14 Plastik,988.5,70
KFU Klinisk Fysiologi Ultraljud,Avd 141 Hematologi,1366.0,69
Urologmottagningen,Avd 30 Urologi,1242.0,69
Avd 69 Onkologi,Strålbehandling Rum 10,530.0,69
Röntgen Söder rum S6,Avd 132 Kirurgi,1000.0,69
Röntgen Norr rum S15,Avd 30 Urologi,905.0,69
Röntgen Norr rum S11,Avd 132 Kirurgi,1109.5,68
Strålbehandling Rum 11,Avd 54 Onkologi,1095.0,68
Avd 132 Kirurgi,Intervention 1,892.5,68
Avd 54 Onkologi,Strålbehandling Rum 12,724.0,68
Operation 4,Avd 30 Urologi,1239.0,68
Röntgen Plan 01 rum s18,Avd 132 Kirurgi,1127.0,67
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 143 Transplantationsmottagning,1101.0,67
Röntgen Norr rum S16,Avd 90 MAVA,532.0,67
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),AKOM team 3 OBS:en,863.0,67
Röntgen Norr rum S15,Avd 52 Onkologi,917.5,66
Avd 135 Stroke,Röntgen Norr rum S15,735.0,66
AKOM akutteam 4,Avd 138 Kärlkirurgi,1055.5,66
Avd 141 Hematologi,KFU Klinisk Fysiologi Ultraljud,953.0,66
GEA Gastroenterologisk Endoskopi,Avd 91 MAVA,786.5,66
Avd 32 Specialistmedicin,Röntgen Norr rum S11,736.5,66
AKOM akutteam 4,Intervention 1,734.5,66
Avd 31 Plastik dagvård,Intervention 1,331.0,65
AKOM akutteam 1,Avd 131 Njurmedicin,1118.0,65
Röntgen Norr rum S12,Avd 34 Geriatrik,797.0,65
Avd 133 Neurologi,Röntgen Norr rum S16,777.0,65
Avd 31 Plastik dagvård,Operation 1,299.0,65
Intervention 1,Avd 137 Kirurgi,983.0,65
Avd 136 Kirurgi,Intervention 1,906.0,65
Avd 15/28 Ortopedi,Röntgen Norr rum S16,602.5,64
Röntgen Plan 01 rum s18 (MR),Avd 133 Neurologi,1116.5,64
Strålbehandling Rum 3,Avd 54 Onkologi,1139.0,64
AKOM team 3 OBS:en,Röntgen Norr rum S12,672.0,63
Dag-UVA avdelning 95B,Kirurgmottagningen Dagvård,1327.0,63
Röntgen Norr rum S16,AKOM triage,494.0,63
Röntgen Plan 01 rum s18,Avd 137 Kirurgi,1125.0,63
Avd 133 Neurologi,Röntgen Plan 01 rum s18 (MR),482.0,63
Röntgen Norr rum S15,Avd 115 Reumatologi,1094.0,63
Avd 133 Neurologi,EEG - Klinisk Neurofysiologimott.,746.0,63
Röntgen Söder rum S6,AKOM akutteam 1,909.0,63
KFU Klinisk Fysiologi Ultraljud,AKOM akutteam 1,1086.0,63
Strålbehandling Rum 10,Avd 52 Onkologi,1295.0,63
Röntgen Söder rum S6,AKOM akutteam 4,845.0,63
Avd 92 HIA Hjärtintensiv,Intervention 2,293.0,63
AKOM akutteam 4,Röntgen Söder rum S7,785.0,63
Röntgen Norr rum S12,AKOM team 3 OBS:en,557.5,62
GEA Gastroenterologisk Endoskopi,Avd 139 Transplantation,881.0,62
KK-akuten Gynekologisk Akutmottagning,Röntgen Norr rum S16,912.0,62
Röntgen Söder rum S6,Avd 139 Transplantation,1164.0,62
Avd 137 Kirurgi,Röntgen Norr rum S11,757.5,62
Röntgen Norr rum S12,Avd 131 Njurmedicin,922.5,62
Dag-UVA avdelning 95B,Avd 132 Kirurgi,1044.5,62
Röntgen Norr rum S15,Avd 141 Hematologi,890.0,61
Avd 91 MAVA,Avd 34 Geriatrik,1664.0,61
Avd 10 Neurokirurgi,Röntgen Plan 01 rum s18,432.0,61
Avd 90 MAVA,Röntgen Norr rum S16,580.0,61
Kirurgmottagningen Dagvård,Intervention 1,563.0,61
AKOM akutteam 1,Avd 141 Hematologi,1281.0,61
AKOM team 3 OBS:en,Avd 133 Neurologi,1675.0,61
Röntgen Norr rum S15,Avd 54 Onkologi,979.5,60
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),Urologmottagningen,1213.0,60
Avd 69 Onkologi,Intervention 1,1008.0,60
Avd 139 Transplantation,Intervention 1,460.0,60
Röntgen Norr rum S11,Avd 91 MAVA,733.5,60
EEG - Klinisk Neurofysiologimott.,Avd 133 Neurologi,1502.0,59
Strålbehandling Rum 8,Avd 69 Onkologi,1337.0,59
Avd 131 Njurmedicin,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),540.0,59
Avd 54 Onkologi,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),733.5,58
AKOM akutteam 1,Avd 69 Onkologi,1299.0,58
Avd 32 Specialistmedicin,Röntgen Norr rum S15,755.5,58
Röntgen Söder rum S6,Avd 141 Hematologi,1265.0,58
Röntgen Plan 01 rum s18,Avd 115 Reumatologi,1300.5,58
AKOM akutteam 4,Operation 8,448.5,58
AKOM akutteam 1,Avd 54 Onkologi,1291.5,58
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Urologmottagningen,1074.0,58
Röntgen Söder rum S4,Avd 16/29 medicin,1088.5,58
Avd 136 Kirurgi,Röntgen Norr rum S11,667.0,57
Röntgen Söder rum S3,Avd 12 Thoraxkirurgi,942.0,57
KFU Klinisk Fysiologi Ultraljud,Avd 139 Transplantation,1099.0,57
AKOM akutteam 4,Avd 18 Öron Näsa Hals,1025.0,57
Avd 137 Kirurgi,Avd 21 Geriatrik,1720.0,57
Röntgen Norr rum S11,Avd 54 Onkologi,1016.0,56
Röntgen Norr rum S11,Avd 136 Kirurgi,1139.0,56
Avd 54 Onkologi,Röntgen Norr rum S11,655.0,56
Intervention 1,Avd 69 Onkologi,1529.0,56
Avd 54 Onkologi,Röntgen Norr rum S12,727.0,55
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 91 MAVA,979.0,55
TVE Traumavårdsenhet,Röntgen Norr rum S12,676.0,55
Avd 131 Njurmedicin,Röntgen Norr rum S12,577.0,55
Röntgen Söder rum S4,AKOM team 3 OBS:en,906.0,55
GEA Gastroenterologisk Endoskopi,Avd 133 Neurologi,1142.0,55
Röntgen Söder rum S4,AKOM akutteam 1,866.5,54
